"Gene"	"SN_1"	"SN_2"	"SN_3"	"SN_4"	"ON_1"	"ON_2"	"ON_3"	"ON_4"	"SPF_1"	"SPF_2"	"SPF_3"	"SPF_4"	"SPF_5"
"Slbp"	3215	2878	2130	3323	5572	5091	5052	3563	503	1653	1791	2046	1865
"Gm10459"	1	0	0	0	2	0	0	0	0	0	0	0	0
"Tmem129"	292	325	237	181	273	317	363	676	424	1131	926	1100	1138
"Tacc3"	634	332	393	330	228	536	144	294	97	143	150	116	199
"Gm42965"	0	0	0	0	0	0	0	0	0	0	0	0	0
"G630022F23Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fgfr3"	0	0	0	0	0	0	21	0	0	0	0	0	16
"Letm1"	914	559	713	782	1421	1287	1170	1455	936	2431	1804	2079	2330
"Gm10059"	1	0	0	1	1	0	1	3	1	2	1	0	0
"Gm30708"	0	0	0	0	1	0	0	0	0	0	1	1	0
"Whsc1"	303	321	438	306	176	227	117	353	348	701	284	394	355
"Nelfa"	187	278	173	329	204	229	198	203	350	1096	929	1424	1251
"Mir7024"	0	0	0	0	0	0	0	0	4	6	0	1	0
"Gm42849"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm42851"	0	0	0	0	0	0	0	1	5	0	0	0	1
"Gm1673"	3	2	5	7	49	26	26	28	14	9	1	0	12
"Gm42847"	0	0	0	0	0	0	0	0	9	0	0	5	0
"Nat8l"	0	2	6	5	64	24	82	13	41	204	116	144	52
"Poln"	29	40	5	0	1	0	10	0	0	4	0	0	0
"Gm19798"	1	0	1	0	4	0	0	0	0	0	0	0	0
"Gm43459"	0	0	0	0	0	0	0	0	0	0	0	0	0
"4930557J02Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Haus3"	298	246	248	472	313	257	168	326	228	627	519	821	606
"Gm25918"	0	0	0	0	0	0	0	0	0	0	0	0	1
"Mxd4"	1004	690	507	633	542	466	527	445	893	1058	749	666	620
"Gm42846"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zfyve28"	8	1	22	11	96	226	117	137	28	162	38	70	95
"Gm15513"	2	0	0	0	56	63	10	78	191	69	20	20	10
"Gm42848"	0	1	1	0	6	0	9	0	2	0	0	3	0
"Cfap99"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43105"	5	5	5	5	7	4	3	5	5	6	4	1	1
"Gm43458"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rnf4"	1745	2124	2186	2063	3080	3933	3441	2827	782	2137	2526	3115	2810
"Fam193a"	121	232	155	142	170	233	215	345	789	1045	363	568	330
"Gm42559"	0	5	9	1	9	10	2	42	75	35	0	6	6
"Gm26931"	11	0	6	2	3	0	2	3	9	39	8	3	0
"Gm43457"	10	7	8	12	3	18	10	10	221	112	17	6	9
"Tnip2"	2322	2161	1937	1631	2352	3097	3839	1807	458	727	761	996	549
"Sh3bp2"	690	689	589	732	784	1089	1038	725	461	1124	796	904	804
"Gm22847"	1	7	0	0	0	0	0	0	0	0	0	1	0
"Add1"	2311	1588	2605	2114	2844	1976	2516	2710	1358	2426	3402	4162	2887
"Mir7036b"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm42867"	2	6	18	10	12	34	0	18	63	52	33	48	65
"Mfsd10"	877	738	981	778	596	553	596	815	363	1003	1241	1427	1201
"Nop14"	644	740	568	647	1070	921	764	937	609	676	405	388	305
"Gm15522"	7	3	3	13	2	1	7	4	7	20	9	0	0
"Grk4"	49	36	31	26	21	52	14	11	68	182	40	33	0
"Gm42560"	0	0	0	0	0	0	0	0	8	0	2	0	0
"Mir467g"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Htt"	117	177	246	133	225	95	140	246	503	684	157	325	403
"Msantd1"	2	10	0	0	0	0	0	6	0	0	1	0	6
"Rgs12"	18	31	28	59	32	37	6	65	32	59	40	103	195
"Mir3097"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gm43791"	0	0	0	0	0	0	0	0	0	0	0	0	1
"Hgfac"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dok7"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lrpap1"	3417	2448	2659	3241	5368	5031	5480	4117	1796	5348	4396	5514	4189
"Adra2c"	0	0	0	0	0	0	0	0	0	0	0	0	0
